site_location,availability,BHK,society,bath,balcony,total_sqft,area_type,price
Ganesh Peth,Ready To Move,2,,2,1,2400,Plot  Area,228
Ganeshkhind,Ready To Move,4,,2,0,1500,Built-up  Area,87
Ghorpade Peth,18-May,2,SStusan,2,1,1143,Super built-up  Area,34.2
Ghorpadi,Ready To Move,4,,4,1,3200,Plot  Area,350
Gokhale Nagar,20-Jul,4,,4,3,3170,Plot  Area,250
Gultekdi,Ready To Move,4,Prsisge,4,3,4800,Built-up  Area,420
Guruwar peth,Ready To Move,3,,2,2,1485,Super built-up  Area,59.4
Hadapsar,Ready To Move,3,Brway G,3,2,1640,Super built-up  Area,251
Hadapsar Industrial Estate,Ready To Move,3,,2,1,1655,Super built-up  Area,70.5
Hingne Khurd,22-Jun,2,,2,2,900,Super built-up  Area,41
Jangali Maharaj Road,Ready To Move,3,,3,3,1600,Super built-up  Area,69
Kalyani Nagar,Ready To Move,2,,2,2,1163,Built-up  Area,68
Karve Nagar,Ready To Move,1,KHatsFl,2,1,45.06Sq. Meter,Carpet  Area,18
Karve Road,Ready To Move,3,ChionCo,3,,1654,Super built-up  Area,97.8
Kasba Peth,18-Apr,1,Asa ia,1,0,799 - 803,Super built-up  Area,33.645
Katraj,Ready To Move,4,,3,1,2100,Built-up  Area,1000
Khadaki,18-Jan,3,NiCodCa,3,3,1685,Super built-up  Area,101
Khadki,Ready To Move,3,Sksia A,3,3,1540,Built-up  Area,80
Kharadi,18-Jan,2,Bhmesy ,2,1,1265,Super built-up  Area,72
Kondhwa,Ready To Move,3,,2,3,1200,Super built-up  Area,38.4
Kondhwa Budruk,Ready To Move,3,SuodsAc,2,1,1300,Built-up  Area,80
Kondhwa Khurd,Ready To Move,2,Vaaldak,2,1,1009,Super built-up  Area,65
Koregaon Pa ,Ready To Move,3,,3,2,1540,Super built-up  Area,65
Kothrud,Ready To Move,3,,3,3,1735,Built-up  Area,105
Law College Road,Ready To Move,4,,4,3,2500,Plot  Area,300
Laxmi Road,Ready To Move,2,Asara S,1,1,497,Super built-up  Area,20
Lulla Nagar,Ready To Move,3,Taonte ,4,1,2480,Super built-up  Area,265
Mahatma Gandhi Road,Ready To Move,2,VHistal,2,0,1142,Built-up  Area,35
Mangalwar peth,18-May,3,,2,2,1215,Super built-up  Area,46.8
Manik Bagh,Ready To Move,2,GMown E,2,1,1070,Super built-up  Area,48
Ma et yard,18-May,2,Sryalan,2,1,1125,Super built-up  Area,32.49
Model colony,18-Jul,2,,2,1,1125,Built-up  Area,32.49
Mukund Nagar,Ready To Move,2,Doissa ,2,3,1575,Super built-up  Area,85
Mundhawa,18-Dec,2,SJerse ,2,1,1360,Super built-up  Area,77.61
Nagar Road,Ready To Move,3,,3,2,1710,Super built-up  Area,85
Nana Peth,18-May,2,Sryalan,2,1,1200,Super built-up  Area,34.65
Narayan Peth,Ready To Move,4,SNity S,3,3,2185,Super built-up  Area,120
Narayangaon,Ready To Move,4,Krton S,4,3,2400,Built-up  Area,135
Navi Peth,Ready To Move,2,,2,1,1195,Super built-up  Area,35.84
Padmavati,Ready To Move,2,Prlla C,2,1,1246,Super built-up  Area,67
Parvati Darshan,Ready To Move,2,Gundaa ,2,1,1012,Super built-up  Area,45
Pashan,Ready To Move,2,,2,2,998,Super built-up  Area,65
Paud Road,Ready To Move,3,,3,1,2400,Plot  Area,250
Pirangut,Ready To Move,2,Brnia G,2,2,1130,Super built-up  Area,85
Prabhat Road,Ready To Move,3,Proodt ,4,1,1744,Super built-up  Area,210
Pune Railway Station,18-Jul,4,ProdsWe,5,2,2733,Super built-up  Area,259
Rasta Peth,Ready To Move,3,Ajnue A,2,1,1354,Super built-up  Area,98
Raviwar Peth,Ready To Move,0.5,,9,,3300,Plot  Area,450
Sadashiv Peth,Ready To Move,2,Stlomg ,2,2,1389,Super built-up  Area,94
Sahakar Nagar,Ready To Move,4,Puodsm ,3,3,2970,Plot  Area,130
Salunke Vihar,Ready To Move,3,Sagalhi,4,,2560,Super built-up  Area,310
Sasson Road,Ready To Move,2,,2,2,1172,Super built-up  Area,75
Satara Road,Ready To Move,3,,2,1,500,Plot  Area,75
Senapati Bapat Road,Ready To Move,3,,3,2,1495,Super built-up  Area,60
Shaniwar Peth,Ready To Move,2,DSingSt,2,1,1738,Super built-up  Area,57.35
Shivaji Nagar,Ready To Move,2,,2,2,1315,Super built-up  Area,50
Shukrawar Peth,Ready To Move,2,Xeitaa ,2,3,1270,Super built-up  Area,73
Sinhagad Road,18-May,2,SNbay G,2,1,1160,Super built-up  Area,52.2
Somwar Peth,Ready To Move,3,,2,1,1450,Super built-up  Area,67
Swargate,Ready To Move,1,,1,1,470,Built-up  Area,21
Tilak Road,Ready To Move,2,,2,2,1040,Built-up  Area,78
Uruli Devachi,Ready To Move,2,,2,2,1205,Super built-up  Area,29
Vadgaon Budruk,Ready To Move,3,,2,3,1215,Super built-up  Area,50
Wadgaon Sheri,Ready To Move,2,Maoma P,2,2,1135,Super built-up  Area,58
Viman Nagar,Ready To Move,3,MBodsen,2,2,1224,Super built-up  Area,48.95
Vishrant Wadi,Ready To Move,1,PrityTr,1,1,664,Built-up  Area,34
Wagholi,Ready To Move,3,Itvir M,2,2,1160,Super built-up  Area,42
Wakadewadi,Ready To Move,2,,2,0,1200,Plot  Area,105
Wanowrie,18-Aug,3,,2,1,1220,Built-up  Area,35.2
Warje,Ready To Move,2,FoapeWa,2,2,1328,Super built-up  Area,69
Yerawada,Ready To Move,2,Raave E,2,2,975,Super built-up  Area,45
Alandi Road,Ready To Move,3,RMcesa ,2,1,1907,Built-up  Area,200
Ambegaon Budruk,Ready To Move,2,Beesta ,2,1,900,Built-up  Area,72
Anandnagar,Ready To Move,2,,2,2,1330,Super built-up  Area,80
Aundh,Ready To Move,4,PuoodSk,5,1,2330,Super built-up  Area,175
Aundh Road,Ready To Move,3,JRarlPe,3,2,1222,Built-up  Area,95
Balaji Nagar,Ready To Move,3,Prleaou,3,2,4446,Plot  Area,410
Baner,Ready To Move,3,Ahriaup,3,1,2100,Super built-up  Area,135
Baner road,Ready To Move,4,Adeatlm,4,3,3335,Super built-up  Area,290
Bhanda ar Road,18-Apr,3,Prtates,3,1,3150,Built-up  Area,290
Bhavani Peth,Ready To Move,3,,2,1,1320,Plot  Area,95
Bibvewadi,Ready To Move,7,,7,3,820,Plot  Area,140
Bopodi,Ready To Move,5,,5,3,8000,Plot  Area,550
Budhwar Peth,Ready To Move,4,,5,3,2400,Plot  Area,500
Bund Garden Road,Ready To Move,3,SLnssPr,2,2,1330,Super built-up  Area,46.55
Camp,Ready To Move,4,KrineAq,4,1,2000,Plot  Area,130
Chandan Nagar,18-Jun,2,Coomee ,2,1,1244,Super built-up  Area,55
Dapodi,Ready To Move,2,EsadeNS,2,1,1000,Super built-up  Area,50
Deccan Gymkhana,18-May,3,,3,2,1400,Super built-up  Area,45
Dehu Road,Ready To Move,2,Phens G,2,2,1000,Super built-up  Area,35
Dhankawadi,Ready To Move,2,,1,0,1056,Plot  Area,250
Dhayari Phata,Ready To Move,3,,2,2,1250,Super built-up  Area,50
Dhole Patil Road,19-Jun,4,Raard B,5,0,2470 - 2790,Super built-up  Area,188
Erandwane,18-Aug,2,,2,2,1225,Super built-up  Area,48
Fatima Nagar,19-Jun,4,Raard B,5,3,2790,Super built-up  Area,198
Fergusson College Road,Ready To Move,4,,4,3,2800,Super built-up  Area,365
Ganesh Peth,Ready To Move,3,Niowshi,3,3,1683,Super built-up  Area,80
Ganeshkhind,Ready To Move,2,AdniaSk,2,2,1250,Built-up  Area,54
Ghorpade Peth,Ready To Move,3,Maity W,2,1,1305,Super built-up  Area,110
Ghorpadi,Ready To Move,3,,3,1,3009,Plot  Area,331
Gokhale Nagar,Ready To Move,3,Baowsig,2,1,1150,Super built-up  Area,57.5
Gultekdi,Ready To Move,3,Clsto C,3,3,1654,Built-up  Area,70
Guruwar peth,Ready To Move,4,Trntska,3,0,4500,Carpet  Area,225
Hadapsar,18-May,3,Alestrb,4,3,1890,Super built-up  Area,125
Hadapsar Industrial Estate,Ready To Move,2,,2,2,1069,Super built-up  Area,55
Hingne Khurd,Ready To Move,2,KHityry,1,1,750,Super built-up  Area,18.5
Jangali Maharaj Road,Ready To Move,4,,4,0,675,Plot  Area,140
Kalyani Nagar,17-Dec,3,,3,1,2400,Built-up  Area,177
Karve Nagar,Ready To Move,5,,4,2,1200,Plot  Area,240
Karve Road,Ready To Move,4,,2,0,1410,Plot  Area,280
Kasba Peth,Ready To Move,3,Eladero,3,3,1680,Super built-up  Area,130
Katraj,Ready To Move,3,,4,2,3500,Super built-up  Area,500
Khadaki,18-Jul,3,PualeSk,3,2,1700,Super built-up  Area,93.5
Khadki,Ready To Move,4,,2,0,2200,Plot  Area,150
Kharadi,Ready To Move,3,Bhmesy ,3,1,1595,Super built-up  Area,105
Kondhwa,15-Nov,3,,3,,1480,Super built-up  Area,100
Kondhwa Budruk,Ready To Move,3,,3,1,1092,Plot  Area,95
Kondhwa Khurd,19-Sep,3,Prood P,4,2,1866,Super built-up  Area,245
Koregaon Pa ,Ready To Move,3,RMudeat,3,2,3895,Super built-up  Area,390
Kothrud,Ready To Move,3,,3,2,1683,Super built-up  Area,115
Law College Road,Ready To Move,2,Tavenew,2,1,545,Super built-up  Area,22.34
Laxmi Road,Ready To Move,2,,2,2,1340,Super built-up  Area,73
Lulla Nagar,21-Dec,3,,3,2,1100,Built-up  Area,53
Mahatma Gandhi Road,Ready To Move,1,,1,0,2000,Plot  Area,200
Mangalwar peth,Ready To Move,2,Sriffhi,2,2,1185,Super built-up  Area,56
Manik Bagh,18-Aug,2,SuVue S,2,2,1025,Super built-up  Area,27.68
Ma et yard,Ready To Move,3,DSimaUl,3,1,1730,Super built-up  Area,95
Model colony,19-Sep,3,Orens G,3,1,1450,Super built-up  Area,88.6
Mukund Nagar,Ready To Move,3,Ceiti I,4,1,1862,Super built-up  Area,110
Mundhawa,Ready To Move,4,Adeatlm,5,1,4000,Plot  Area,578
Nagar Road,Ready To Move,3,Brica E,5,2,2430,Built-up  Area,180
Nana Peth,20-Sep,1,Ranuetz,1,0,783 - 943,Super built-up  Area,40.55
Narayan Peth,Ready To Move,2,,2,3,1170,Super built-up  Area,50
Narayangaon,Ready To Move,2,Prionve,2,2,1075,Super built-up  Area,50
Navi Peth,Ready To Move,2,Niiewin,2,1,1060,Super built-up  Area,34
Padmavati,17-Jun,2,,2,2,850,Super built-up  Area,32
Parvati Darshan,Ready To Move,2,Sashaa ,2,1,935,Super built-up  Area,45.9
Pashan,Ready To Move,4,Mauner ,3,,1905,Built-up  Area,86
Paud Road,Ready To Move,6,,6,3,2000,Built-up  Area,300
Pirangut,Ready To Move,2,Aklia R,2,1,1125,Super built-up  Area,47
Prabhat Road,Ready To Move,6,,6,2,600,Plot  Area,75
Pune Railway Station,Ready To Move,4,,4,1,1500,Built-up  Area,105
Rasta Peth,Ready To Move,3,Malmser,3,3,1725,Built-up  Area,85
Raviwar Peth,Ready To Move,2,,2,3,1120,Super built-up  Area,36
Sadashiv Peth,Ready To Move,3,Vaontos,2,2,1750,Super built-up  Area,75
Sahakar Nagar,18-Jul,3,,3,2,2000,Super built-up  Area,77
Salunke Vihar,Ready To Move,3,Saa 2Ai,3,3,1745,Built-up  Area,98
Sasson Road,Ready To Move,5,,3,1,750,Plot  Area,95
Satara Road,Ready To Move,3,Ayaya A,2,2,1270,Super built-up  Area,55.25
Senapati Bapat Road,Ready To Move,5,Emine P,5,3,5384,Super built-up  Area,420
Shaniwar Peth,Ready To Move,2,NCensun,2,2,1180,Super built-up  Area,72
Shivaji Nagar,Ready To Move,2,SwionMa,2,1,1130,Built-up  Area,75
Shukrawar Peth,18-Dec,4,Jaades ,4,3,2774,Super built-up  Area,197
Sinhagad Road,Ready To Move,3,SoystAm,3,2,1723,Super built-up  Area,95
Somwar Peth,Ready To Move,2,PrntaEn,2,2,1175,Built-up  Area,70.5
Swargate,Ready To Move,3,Dimes E,2,2,1607,Super built-up  Area,112
Tilak Road,18-May,2,Ocuil T,2,1,1334,Built-up  Area,62
Uruli Devachi,Ready To Move,5,,5,3,2800,Built-up  Area,130
Vadgaon Budruk,19-Mar,3,NiCodCa,3,2,1138,Super built-up  Area,128
Wadgaon Sheri,19-Dec,2,,2,1,1113,Super built-up  Area,70
Viman Nagar,Ready To Move,3,NaensGa,2,2,1300,Built-up  Area,58
Vishrant Wadi,Ready To Move,4,,4,,2400,Plot  Area,350
Wagholi,Ready To Move,2,,2,2,1200,Built-up  Area,60
Wakadewadi,Ready To Move,3,,3,2,1900,Super built-up  Area,190
Wanowrie,Ready To Move,4,Lecco C,4,3,5150,Super built-up  Area,559
Warje,Ready To Move,5,,5,,1200,Plot  Area,290
Yerawada,18-Dec,4,Goted U,5,,2956,Super built-up  Area,234
Alandi Road,Ready To Move,5,,5,1,1100,Plot  Area,165
Ambegaon Budruk,18-May,2,Prcesvy,2,1,1398,Super built-up  Area,97
Anandnagar,Ready To Move,2,,1,0,1152,Plot  Area,66
Aundh,Ready To Move,4,,5,,1200,Plot  Area,325
Aundh Road,Ready To Move,2,,2,2,1110,Super built-up  Area,44.95
Balaji Nagar,Ready To Move,2,Sarch M,2,1,1116,Built-up  Area,47
Baner,Ready To Move,2,ARngsd ,2,1,1061,Super built-up  Area,33.84
Baner road,Ready To Move,1,,1,1,620,Super built-up  Area,86.8
Bhanda ar Road,Ready To Move,3,,2,2,1300,Super built-up  Area,52
Bhavani Peth,Ready To Move,2,Shana S,2,2,1270,Built-up  Area,57
Bibvewadi,18-Apr,2,,2,2,966,Super built-up  Area,50
Bopodi,Ready To Move,4,,4,1,1200,Plot  Area,110
Budhwar Peth,Ready To Move,4,,4,3,1320,Plot  Area,249
Bund Garden Road,Ready To Move,4,Emine P,5,1,3596,Super built-up  Area,297
Camp,18-May,3,,3,2,1630,Super built-up  Area,131
Chandan Nagar,Ready To Move,5,,6,3,600,Super built-up  Area,72
Dapodi,Ready To Move,4,,4,2,600,Plot  Area,60
Deccan Gymkhana,Ready To Move,2,Veiewak,2,1,1202,Super built-up  Area,65
Dehu Road,Ready To Move,4,,4,2,1200,Plot  Area,250
Dhankawadi,Ready To Move,2,,2,2,1300,Built-up  Area,80
Dhayari Phata,Ready To Move,6,,6,2,1200,Plot  Area,330
Dhole Patil Road,Ready To Move,3,GMown E,2,1,1360,Super built-up  Area,70
Erandwane,Ready To Move,2,Mileeou,2,1,1155,Super built-up  Area,69.18
Fatima Nagar,Ready To Move,3,Taonte ,3,1,2378,Super built-up  Area,310
Fergusson College Road,Ready To Move,2,MBrrySt,2,2,1011,Super built-up  Area,38
Ganesh Peth,Ready To Move,2,VaiewV ,2,2,1203,Built-up  Area,72
Ganeshkhind,19-Dec,3,Raard B,3,2,1645,Super built-up  Area,113
Ghorpade Peth,Ready To Move,3,Honcyju,2,3,1364,Super built-up  Area,50
Ghorpadi,19-Jan,2,,1,1,1200,Plot  Area,36
Gokhale Nagar,Ready To Move,1,,2,2,1050,Built-up  Area,41
Gultekdi,Ready To Move,3,,3,3,1365,Super built-up  Area,66
Guruwar peth,Ready To Move,3,DLhtsen,3,3,1252,Super built-up  Area,70
Hadapsar,Ready To Move,3,DLhtsan,3,2,1221,Super built-up  Area,65
Hadapsar Industrial Estate,Ready To Move,2,,2,1,1065,Built-up  Area,58
Hingne Khurd,Ready To Move,3,Ayaya A,2,1,1270,Super built-up  Area,55.25
Jangali Maharaj Road,Ready To Move,2,KVersuj,2,2,1032,Built-up  Area,45
Kalyani Nagar,Ready To Move,4,,4,2,2900,Super built-up  Area,325
Karve Nagar,Ready To Move,3,NDivaOl,2,3,1515,Super built-up  Area,69
Karve Road,Ready To Move,2,Daganva,2,2,1427,Super built-up  Area,52
Kasba Peth,Ready To Move,2,,2,2,940,Super built-up  Area,50
Katraj,18-Mar,5,,5,1,800,Plot  Area,95
Khadaki,Ready To Move,3,SNity S,2,2,1460,Super built-up  Area,80
Khadki,Ready To Move,3,Adeatlm,4,2,2275,Super built-up  Area,175
Kharadi,21-Sep,3,Vasisvi,3,2,1522,Super built-up  Area,90
Kondhwa,19-Jan,3,,4,2,3210,Plot  Area,380
Kondhwa Budruk,Ready To Move,2,MenueNo,2,2,1185,Super built-up  Area,42.67
Koregaon Pa ,Ready To Move,3,Bregae ,3,2,1800,Built-up  Area,125
Kothrud,17-May,2,,2,1,940,Super built-up  Area,44
Law College Road,Ready To Move,4,,4,2,1200,Plot  Area,135
Laxmi Road,Ready To Move,3,,3,2,1530,Super built-up  Area,71
Lulla Nagar,Ready To Move,2,Viine P,2,1,1050,Built-up  Area,48
Mahatma Gandhi Road,Ready To Move,2,Prldsri,2,2,929,Super built-up  Area,49
Mangalwar peth,Ready To Move,4,,5,3,3750,Built-up  Area,145
Manik Bagh,Ready To Move,3,PaantPl,3,3,1530,Super built-up  Area,75
Ma et yard,Ready To Move,2,,2,1,900,Plot  Area,48
Model colony,Ready To Move,2,,2,1,978,Super built-up  Area,34.22
Mukund Nagar,Ready To Move,4,Prowshi,4,2,4041,Built-up  Area,345
Mundhawa,Ready To Move,1,,1,2,770,Super built-up  Area,43.82
Nagar Road,Ready To Move,2,,2,3,1066,Built-up  Area,55
Nana Peth,Ready To Move,1,Palleon,1,0,635,Super built-up  Area,28
Narayan Peth,Ready To Move,2,Arria G,2,1,1015,Super built-up  Area,45
Narayangaon,Ready To Move,2,AraraSa,2,0,1175,Built-up  Area,54.05
Navi Peth,Ready To Move,4,,4,2,1200,Plot  Area,130
Padmavati,18-May,2,,2,1,1188,Super built-up  Area,50
Parvati Darshan,Ready To Move,5,,5,2,2400,Plot  Area,700
Pashan,19-Oct,1,,1,1,620,Super built-up  Area,25
Paud Road,Ready To Move,2,Prsichi,2,0,1210,Built-up  Area,75
Pirangut,18-Apr,3,Goe 2me,3,1,1000,Plot  Area,90
Prabhat Road,Ready To Move,3,Suavea ,2,,1500,Super built-up  Area,99
Pune Railway Station,Ready To Move,4,Aroveth,3,2,1800,Plot  Area,190
Rasta Peth,Ready To Move,2,MenueNo,2,2,1185,Super built-up  Area,43.66
Raviwar Peth,Ready To Move,3,V2lasna,3,3,1600,Built-up  Area,130
Sadashiv Peth,Ready To Move,2,,2,1,1100,Super built-up  Area,28
Sahakar Nagar,Ready To Move,2,Jatish ,2,2,1300,Super built-up  Area,69.23
Salunke Vihar,Ready To Move,2,MSopsw ,2,1,1100,Super built-up  Area,68
Sasson Road,19-Apr,2,Sisice ,2,1,860,Super built-up  Area,28.93
Satara Road,18-Jun,2,,2,1,1007,Super built-up  Area,64
Senapati Bapat Road,Ready To Move,2,SagasSa,2,2,1100,Super built-up  Area,48
Shaniwar Peth,Ready To Move,2,SMuilan,2,1,1187,Super built-up  Area,38
Shivaji Nagar,Ready To Move,2,,2,2,1150,Super built-up  Area,72
Shukrawar Peth,Ready To Move,3,Vancyat,3,2,2400,Super built-up  Area,252
Sinhagad Road,18-Apr,2,,2,3,1180,Super built-up  Area,41.94
Somwar Peth,Ready To Move,3,PrityTr,3,2,1820,Super built-up  Area,85.2
Swargate,Ready To Move,6,,6,3,1200,Plot  Area,180
Tilak Road,Ready To Move,3,,6,2,2400,Plot  Area,775
Uruli Devachi,Ready To Move,4,,4,1,3628,Super built-up  Area,246
Vadgaon Budruk,Ready To Move,3,KSideas,3,2,1430,Built-up  Area,70
Wadgaon Sheri,21-Jan,2,PrarePa,2,1,700,Super built-up  Area,40
Viman Nagar,Ready To Move,2,,1,0,1200,Plot  Area,70
Vishrant Wadi,20-Dec,2,Shmes O,2,1,1165,Super built-up  Area,40.77
Wagholi,Ready To Move,3,,3,2,1569,Super built-up  Area,118
Wakadewadi,Ready To Move,3,,4,3,1950,Super built-up  Area,95
Wanowrie,Ready To Move,2,,3,1,1200,Plot  Area,70
Warje,Ready To Move,3,,3,2,2437,Super built-up  Area,125
Yerawada,Ready To Move,2,,2,2,950,Super built-up  Area,46.7
Alandi Road,18-Jul,3,NiCodCa,3,3,1685,Built-up  Area,115
Ambegaon Budruk,Ready To Move,4,,4,3,3270,Super built-up  Area,205
Anandnagar,Ready To Move,2,Maantr ,2,2,1314,Super built-up  Area,110
Aundh,18-May,3,,3,2,1250,Super built-up  Area,40
Aundh Road,Ready To Move,2,AmthaIn,2,2,1130,Built-up  Area,68
Balaji Nagar,Ready To Move,6,,9,3,1200,Plot  Area,122
Baner,Ready To Move,6,,5,2,890,Plot  Area,160
Baner road,Ready To Move,3,,3,2,857,Plot  Area,95
Bhanda ar Road,Ready To Move,3,Santste,3,,2247,Super built-up  Area,145
Bhavani Peth,Ready To Move,3,Valdsic,3,2,1550,Super built-up  Area,85
Bibvewadi,Ready To Move,3,SMaxyay,2,2,1715,Super built-up  Area,100
Bopodi,Ready To Move,2,Koagati,2,1,1053,Super built-up  Area,53
Budhwar Peth,Ready To Move,3,,3,0,1200,Plot  Area,50
Bund Garden Road,Ready To Move,3,,2,1,1800,Plot  Area,230
Camp,Ready To Move,5,,4,0,2400,Built-up  Area,97
Chandan Nagar,Ready To Move,2,Seityen,1,3,1245,Super built-up  Area,60
Dapodi,Ready To Move,2,Proodt ,2,1,1320,Super built-up  Area,160
Deccan Gymkhana,Ready To Move,4,PrOakSi,5,3,3940,Plot  Area,265
Dehu Road,Ready To Move,3,Pronyt ,2,1,1241,Built-up  Area,65
Dhankawadi,Ready To Move,3,BriumMi,4,2,2980,Built-up  Area,260
Dhayari Phata,Ready To Move,6,,5,3,600,Plot  Area,130
Dhole Patil Road,Ready To Move,2,Vaw 1il,2,2,1090,Super built-up  Area,57
Erandwane,Ready To Move,3,ViisePa,2,1,1390,Super built-up  Area,50
Fergusson College Road,Ready To Move,3,Leora D,5,2,2750,Super built-up  Area,275
Ganesh Peth,21-Dec,3,PrarePa,2,1,1100,Super built-up  Area,52.97
Ganeshkhind,Ready To Move,2,HawerMa,2,2,1350,Built-up  Area,103
Ghorpade Peth,Ready To Move,2,,2,2,800,Built-up  Area,55
Ghorpadi,Ready To Move,3,Kla  L,3,2,1787,Super built-up  Area,116
Gokhale Nagar,Ready To Move,3,,3,2,2400,Built-up  Area,220
Gultekdi,Ready To Move,4,Oznzaes,4,2,3700,Super built-up  Area,325
Guruwar peth,Ready To Move,3,Kla  L,3,2,1691,Super built-up  Area,93.01
Hadapsar,18-Jul,4,Rosha I,4,3,2119,Super built-up  Area,111
Hadapsar Industrial Estate,18-Mar,3,Theanmp,3,,2325,Plot  Area,95
Hingne Khurd,Ready To Move,5,,5,0,570,Plot  Area,80
Jangali Maharaj Road,Ready To Move,3,DLhtsnd,3,2,1896,Super built-up  Area,102
Kalyani Nagar,17-Oct,3,Naiewre,3,2,1540,Super built-up  Area,48.51
Karve Nagar,Ready To Move,2,,2,2,1244,Super built-up  Area,95
Karve Road,Ready To Move,3,Naandit,2,2,1365,Super built-up  Area,65
Kasba Peth,18-May,1,SaSkyBl,1,1,580,Super built-up  Area,27.5
Katraj,18-Dec,3,Magiaya,3,2,1355,Super built-up  Area,83.87
Khadaki,Ready To Move,3,,4,2,1500,Plot  Area,180
Khadki,Ready To Move,2,HMityld,2,3,1513,Super built-up  Area,62
Kharadi,Ready To Move,2,,2,1,1175,Super built-up  Area,41.13
Kondhwa,17-Jan,3,Soitya ,4,2,2087,Super built-up  Area,139
Kondhwa Budruk,21-Dec,3,Sodgere,3,2,2273,Super built-up  Area,145
Kondhwa Khurd,19-May,3,G conTh,3,2,2050,Super built-up  Area,150
Koregaon Pa ,Ready To Move,2,,2,1,1200,Built-up  Area,75
Kothrud,Ready To Move,2,,2,3,1190,Super built-up  Area,59
Law College Road,Ready To Move,4,,3,2,600,Super built-up  Area,85
Laxmi Road,18-Apr,2,,2,2,1019,Super built-up  Area,49.86
Lulla Nagar,Ready To Move,3,Prtanha,3,2,1830,Super built-up  Area,133
Mahatma Gandhi Road,Ready To Move,7,,7,1,4278,Plot  Area,299
Mangalwar peth,Ready To Move,2,MamelKa,2,1,1028,Super built-up  Area,56
Manik Bagh,Ready To Move,2,Sastaat,2,2,1300,Built-up  Area,100
Ma et yard,Ready To Move,2,Maoma P,2,1,1160,Super built-up  Area,67
Model colony,Ready To Move,3,,3,2,1505,Super built-up  Area,78
Mukund Nagar,Ready To Move,2,,2,1,1250,Super built-up  Area,55.55
Mundhawa,Ready To Move,1,,2,1,400,Plot  Area,50
Nagar Road,Ready To Move,2,,2,1,1175,Super built-up  Area,41.68
Nana Peth,Ready To Move,2,Smrryny,2,2,1100,Super built-up  Area,57.6
Narayan Peth,Ready To Move,3,PrBayGa,3,2,2159,Super built-up  Area,120
Narayangaon,18-May,2,Jurdsig,2,1,1230,Super built-up  Area,56.45
Navi Peth,Ready To Move,3,,4,2,1200,Plot  Area,180
Padmavati,Ready To Move,5,,6,1,3100,Built-up  Area,165
Parvati Darshan,18-Jun,5,Brica E,7,0,4500 - 5540,Super built-up  Area,287
Pashan,Ready To Move,1,,1,0,1200,Built-up  Area,48
Paud Road,Ready To Move,2,Chisei ,2,1,1340,Super built-up  Area,71
Pirangut,Ready To Move,3,Vimesar,2,2,1750,Super built-up  Area,89
Prabhat Road,Ready To Move,2,,2,1,1400,Super built-up  Area,100
Pune Railway Station,Ready To Move,3,,3,0,1350,Built-up  Area,60
Rasta Peth,Ready To Move,3,Reion M,3,3,1675,Super built-up  Area,62
Raviwar Peth,21-Dec,2,Bhe 2ko,2,1,1340,Super built-up  Area,66.33
Sadashiv Peth,Ready To Move,2,,1,0,600,Built-up  Area,68
Sahakar Nagar,Ready To Move,2,Vandak ,2,2,1276,Super built-up  Area,76
Salunke Vihar,Ready To Move,3,Srdor S,2,3,1738,Super built-up  Area,76
Sasson Road,Ready To Move,2,,2,2,1190,Super built-up  Area,59.9
Satara Road,18-Apr,2,Pra un,2,1,1128,Super built-up  Area,65.45
Senapati Bapat Road,Ready To Move,2,Shnto F,2,1,1250,Super built-up  Area,55
Shaniwar Peth,Ready To Move,2,Soa ge,2,2,1450,Built-up  Area,90
Shivaji Nagar,Ready To Move,2,MRvar S,2,1,1084,Super built-up  Area,53
Shukrawar Peth,Ready To Move,4,,4,2,2150,Built-up  Area,90
Sinhagad Road,Ready To Move,4,,4,0,6000,Built-up  Area,625
Somwar Peth,Ready To Move,4,,3,0,600,Plot  Area,77
Swargate,Ready To Move,2,Kelmsoy,2,2,1250,Super built-up  Area,65
Tilak Road,Ready To Move,3,,4,1,2400,Plot  Area,240
Uruli Devachi,Ready To Move,3,Spews L,3,0,1304,Super built-up  Area,65
Vadgaon Budruk,Ready To Move,3,Brway G,3,2,1640,Super built-up  Area,268
Wadgaon Sheri,Ready To Move,2,Brnia G,2,1,980,Built-up  Area,77.44
Viman Nagar,Ready To Move,2,Sumesa ,2,2,1275,Super built-up  Area,49.5
Vishrant Wadi,Ready To Move,1,,1,1,10030,Plot  Area,150
Wagholi,Ready To Move,3,,4,0,2500,Plot  Area,140
Wakadewadi,Ready To Move,4,,4,0,3600,Built-up  Area,225
Wanowrie,Ready To Move,3,SRbiaxu,4,0,2400,Plot  Area,95
Warje,Ready To Move,3,Prlis A,3,2,2300,Super built-up  Area,280
Yerawada,18-May,3,Wiowsri,2,2,1450,Super built-up  Area,70.18
Alandi Road,Ready To Move,2,MVnexde,2,1,890,Super built-up  Area,40
Ambegaon Budruk,Ready To Move,2,Esave E,2,3,1340,Super built-up  Area,85
Anandnagar,Ready To Move,3,,2,1,1100,Super built-up  Area,75
Aundh,Ready To Move,2,VBvenal,2,1,750,Super built-up  Area,40
Aundh Road,Ready To Move,4,,4,2,700,Plot  Area,125
Balaji Nagar,Ready To Move,2,DLhtsnd,2,2,1300,Super built-up  Area,66
Baner,21-Dec,2,,2,1,1301,Super built-up  Area,120
